,latitude,longitude,time,u100,v100,100m_wind_direction,100m_wind_speed
16819,34.24,127.09,2019-12-02 19:00:00,5.384594781885594,-8.257173424668768,326.89118144465795 degree,9.85772661064232 meter / second
16820,34.24,127.09,2019-12-02 20:00:00,5.384594781885594,-7.978065970725001,325.98360911061826 degree,9.625144030005464 meter / second
16821,34.24,127.09,2019-12-02 21:00:00,4.9865948237560485,-7.629181653295292,326.8305184121381 degree,9.114304177241843 meter / second
16822,34.24,127.09,2019-12-02 22:00:00,4.635993726424539,-6.19377189015592,323.1854099507418 degree,7.7366173524825 meter / second
16823,34.24,127.09,2019-12-02 23:00:00,3.261426763281477,-6.272686200050734,332.5282291728617 degree,7.069900755778373 meter / second
16824,34.24,127.09,2019-12-03 00:00:00,1.9726291672967666,-6.300929216223616,342.6162498799358 degree,6.60249761980497 meter / second
16825,34.24,127.09,2019-12-03 01:00:00,1.2639033439356475,-5.5740868882450565,347.22442010555875 degree,5.715583636035533 meter / second
16826,34.24,127.09,2019-12-03 02:00:00,1.5588295889012085,-4.06059349215713,338.99860066164246 degree,4.3495251690021 meter / second
16827,34.24,127.09,2019-12-03 03:00:00,2.7039258767521885,-3.1568169746249324,319.41877123369557 degree,4.156526020398549 meter / second
16828,34.24,127.09,2019-12-03 04:00:00,4.174042924361135,-2.946655707220846,305.22008914542255 degree,5.109345769402032 meter / second
16829,34.24,127.09,2019-12-03 05:00:00,5.2431505623612935,-3.186721344690336,301.2907109755718 degree,6.1356190191613535 meter / second
16830,34.24,127.09,2019-12-03 06:00:00,6.386742124472654,-3.7191852672437724,300.21348472142495 degree,7.390724864084483 meter / second
16831,34.24,127.09,2019-12-03 07:00:00,6.783237356862578,-3.9816791822623148,300.41242426187034 degree,7.865499230817909 meter / second
16832,34.24,127.09,2019-12-03 08:00:00,6.7478763019815045,-4.141169155944468,301.5374249420765 degree,7.9172669883609075 meter / second
16833,34.24,127.09,2019-12-03 09:00:00,6.658345120474102,-4.143661186783251,301.8950774652592 degree,7.8424159398871 meter / second
16834,34.24,127.09,2019-12-03 10:00:00,6.301725120184111,-4.111264785879063,303.1205525153189 degree,7.52424332607397 meter / second
16835,34.24,127.09,2019-12-03 11:00:00,5.823974697854695,-4.172734879902393,305.62066829644243 degree,7.164523547257397 meter / second
16836,34.24,127.09,2019-12-03 12:00:00,5.604284739870145,-3.918547734346463,304.96146446207024 degree,6.838349493254435 meter / second
16837,34.24,127.09,2019-12-03 13:00:00,5.494439760877869,-3.882828625657231,305.2482092989578 degree,6.7279436993883115 meter / second
16838,34.24,127.09,2019-12-03 14:00:00,5.644912334839891,-3.638609603456435,302.8051047387285 degree,6.715989511188425 meter / second
16839,34.24,127.09,2019-12-03 15:00:00,5.840526680990518,-3.4292790129986095,300.4194259937575 degree,6.7728654541748305 meter / second
16840,34.24,127.09,2019-12-03 16:00:00,6.14372891752399,-3.5106853537322085,299.74476259136964 degree,7.076038204032702 meter / second
16841,34.24,127.09,2019-12-03 17:00:00,6.3882468502122745,-3.9401453349492543,301.6654712326627 degree,7.505627427455311 meter / second
16842,34.24,127.09,2019-12-03 18:00:00,6.319029466189743,-4.537402059311065,305.68037459208915 degree,7.779341285893975 meter / second
16843,34.24,127.09,2019-12-03 19:00:00,6.059464276105258,-4.750886034500196,308.09800401548557 degree,7.699871779854831 meter / second
16844,34.24,127.09,2019-12-03 20:00:00,5.884163727439503,-4.564814398537685,307.8035815528265 degree,7.4472084209058975 meter / second
16845,34.24,127.09,2019-12-03 21:00:00,5.759271491051026,-4.19100977272014,306.043303334504 degree,7.1227642824025015 meter / second
16846,34.24,127.09,2019-12-03 22:00:00,4.249279211342145,-2.804609949410179,303.4256158164044 degree,5.091385939434869 meter / second
16847,34.24,127.09,2019-12-03 23:00:00,4.219184696549741,-2.6052474823074885,301.694356195802 degree,4.958712932573233 meter / second
16848,34.24,127.09,2019-12-04 00:00:00,4.271850097436449,-2.9915122623189516,305.0029754428439 degree,5.2151556899648215 meter / second
16849,34.24,127.09,2019-12-04 01:00:00,3.4472603921245732,-3.4915797839682003,315.3659515868133 degree,4.906601023002206 meter / second
16850,34.24,127.09,2019-12-04 02:00:00,2.56699583444675,-3.5979064330896353,324.4933076615852 degree,4.419773559282731 meter / second
16851,34.24,127.09,2019-12-04 03:00:00,2.2028522054586586,-3.3420579336411826,326.6099063624249 degree,4.002737696990405 meter / second
16852,34.24,127.09,2019-12-04 04:00:00,2.416523260484728,-2.9557931536297195,320.7321150648704 degree,3.8178918051076387 meter / second
16853,34.24,127.09,2019-12-04 05:00:00,3.3231205186059056,-2.7996258877326117,310.1130976259175 degree,4.345231304826268 meter / second
16854,34.24,127.09,2019-12-04 06:00:00,4.566023979532199,-3.095346880601603,304.1336825105783 degree,5.516316460548029 meter / second
16855,34.24,127.09,2019-12-04 07:00:00,4.970042840620225,-3.7042330822110703,306.69760858944613 degree,6.198602146044484 meter / second
16856,34.24,127.09,2019-12-04 08:00:00,4.914367988254279,-4.381234793413958,311.7174958209007 degree,6.583785464229485 meter / second
16857,34.24,127.09,2019-12-04 09:00:00,4.426836848617329,-4.999258441432298,318.47515196534573 degree,6.677534683437316 meter / second
16858,34.24,127.09,2019-12-04 10:00:00,4.584833051277451,-5.152102999544361,318.33425994284215 degree,6.896728168196867 meter / second
16859,34.24,127.09,2019-12-04 11:00:00,3.932534443152091,-5.32986786604426,323.57899443321696 degree,6.623618242023669 meter / second
16860,34.24,127.09,2019-12-04 12:00:00,3.418670603071789,-5.380539159766194,327.56906354064773 degree,6.374755708424027 meter / second
16861,34.24,127.09,2019-12-04 13:00:00,3.3095779869493236,-5.55581199542731,329.21788923786545 degree,6.466865808120153 meter / second
16862,34.24,127.09,2019-12-04 14:00:00,3.368262290794512,-5.634726305322125,329.1303444562353 degree,6.564703450688189 meter / second
16863,34.24,127.09,2019-12-04 15:00:00,3.5781715314715314,-5.829935387693509,328.4601309107655 degree,6.8404282127155165 meter / second
16864,34.24,127.09,2019-12-04 16:00:00,3.815165835461714,-5.915495113158414,327.18023102961524 degree,7.039074710917292 meter / second
16865,34.24,127.09,2019-12-04 17:00:00,3.738424822741084,-6.255241984179249,329.13548854191123 degree,7.287240385490618 meter / second
16866,34.24,127.09,2019-12-04 18:00:00,3.238855877187174,-6.555947038725807,333.70909633338795 degree,7.312361381097599 meter / second
16867,34.24,127.09,2019-12-04 19:00:00,2.28636448400758,-6.3997797728287,340.3403890629616 degree,6.795928464488029 meter / second
16868,34.24,127.09,2019-12-04 20:00:00,0.6988788287082581,-6.082461179356917,353.44542090407964 degree,6.122480348322938 meter / second
16869,34.24,127.09,2019-12-04 21:00:00,-0.7697334931610671,-6.0292978547962,7.27534059114214 degree,6.078233482875103 meter / second
16870,34.24,127.09,2019-12-04 22:00:00,-0.9638431135720742,-4.478423996126519,12.145887435166841 degree,4.580968788003487 meter / second
16871,34.24,127.09,2019-12-04 23:00:00,-0.9503005819154924,-4.3679439622737775,12.274136713207099 degree,4.470123673183201 meter / second
16872,34.24,127.09,2019-12-05 00:00:00,-0.48759741698227765,-4.411139163479361,6.307739402096786 degree,4.438006304708138 meter / second
