,latitude,longitude,time,u100,v100,u10,v10,mdww,mpww,mwd,p140122,mwp,mp1,wmb,dwi,pp1d,swh,shww,p140121,p140124,p140127,10m_wind_direction,10m_wind_speed,100m_wind_direction,100m_wind_speed
384,35.89,126.42,2022-01-17 00:00:00,2.1159799262575905,-3.291377405258569,1.7403120131672556,-3.0547684838348235,358.4389117100634,3.4898916920648873,311.5405271889105,304.45441278287046,4.52357554927971,3.975897876025902,13.0,14.846181758775828,5.3026027983592305,0.7839817440428121,0.3270234531203918,0.6047408117171168,0.0064740313324966325,0.002563188770650371,330.3296877243505 degree,3.5157213190190104 meter / second,327.2636103408969 degree,3.912868036641628 meter / second
385,35.89,126.42,2022-01-17 01:00:00,2.843983913201771,-3.010614091138177,2.379049309253249,-2.8107588522663405,355.3751197029277,3.648647945709017,309.5596033612959,303.1631000474384,4.443581256462184,3.9022645444760706,13.0,346.2113815424672,5.28358752468509,0.7624259522951042,0.33071499183148034,0.5883730218846087,0.007445136032371125,0.00244142208320855,319.7551503546882 degree,3.6824232431174933 meter / second,316.6302791870262 degree,4.141502348702727 meter / second
386,35.89,126.42,2022-01-17 02:00:00,3.304141228561328,-2.8193965516209656,2.803896164895195,-2.6133458121489817,353.64006903222,3.8126820800938654,307.2175166258842,301.6796912026032,4.352055661138013,3.8259975319170056,13.0,317.03709352543916,5.222228961179871,0.7666400944229965,0.39388132088788275,0.5781282914446491,0.018921827939978764,0.00244142208320855,312.98546351244437 degree,3.832937520674007 meter / second,310.4738538584829 degree,4.343540741557624 meter / second
387,35.89,126.42,2022-01-17 03:00:00,4.5155757934875105,-2.3973188119549262,3.88244384537848,-2.2021575700306637,351.4492930271176,3.880154987290558,304.44860099943946,299.91881019974124,4.284515175027663,3.780950612988234,13.0,296.73978713814506,5.11607668597835,0.7928041566990469,0.4405529174495011,0.58643108071804,0.024287426635244858,0.00244142208320855,299.5623027999936 degree,4.463504024391666 meter / second,297.96382878119755 degree,5.112490805163696 meter / second
388,35.89,126.42,2022-01-17 04:00:00,7.140963138440443,-2.5442298484132713,6.219101551409187,-2.2700961117647456,292.43560755633933,3.138852646889561,300.43203169151366,298.4620813701009,4.238785323944168,3.751157096571276,13.0,288.9559486670231,5.0012989258112395,0.8616553565007969,0.613293490787418,0.5944762655509677,0.020138161099417518,0.002684955458092206,290.0530906023495 degree,6.620465275446248 meter / second,289.6103047491026 degree,7.580663563707481 meter / second
389,35.89,126.42,2022-01-17 05:00:00,9.571998325353315,-3.9289246650635152,8.13619364724101,-3.378810428964398,294.25301822723884,3.562822407754824,296.8751242662388,295.59664773817104,4.2660650910170315,3.782871005390801,13.0,292.1914326892467,4.943665003541162,1.0053606348188484,0.8269339692100928,0.6054739935861274,0.015871185902999296,0.003417585027533837,292.5522061296607 degree,8.809881212609143 meter / second,292.3162001390906 degree,10.346960953067867 meter / second
390,35.89,126.42,2022-01-17 06:00:00,11.15539678938558,-5.169040366469037,9.281637103336424,-4.310742257986884,294.2694902272772,4.23821121481434,295.57274893206124,290.61815690280685,4.426778501381073,3.9363926608873934,13.0,293.2845758478588,5.065794029303945,1.2389878235781113,1.1690751522901799,0.4362873233803723,0.14647986346692699,0.011291830815438407,294.91193262930716 degree,10.233830472155828 meter / second,294.86143973664895 degree,12.294789784246841 meter / second
391,35.89,126.42,2022-01-17 07:00:00,11.705380732410713,-6.834032112996949,9.509317462437355,-5.553910861969169,297.63526890178287,4.578094739333147,296.8860685967781,291.0610451550418,4.711436940402253,4.189829589671797,13.0,300.72783705348354,5.296035667760429,1.4959898582410065,1.4274535641400932,0.4833893045327593,0.16405783944849353,0.008117779162788212,300.2870375565925 degree,11.012404118271139 meter / second,300.27795554031707 degree,13.554332628800486 meter / second
392,35.89,126.42,2022-01-17 08:00:00,10.627052897570792,-8.911773914336402,8.567495358424477,-7.173053490102893,304.339372917397,4.768578253339099,300.1912564196489,293.21679038278796,4.985552474274501,4.431195480497212,13.0,311.79110500044163,5.670264095017498,1.6803509969439752,1.548219616259987,0.7040968628311547,0.24658212066106008,0.022461894943434986,309.9374316415766 degree,11.17383878031638 meter / second,309.98296704102046 degree,13.869173284230554 meter / second
393,35.89,126.42,2022-01-17 09:00:00,8.30380966385661,-10.213452335781612,6.667127206495687,-8.276432319731805,313.55271160552184,4.561121554678334,303.46361125090175,295.0897274494684,5.1835614116028905,4.595690806865612,13.0,321.3712138879764,6.014499358644221,1.7367113582083755,1.4346022581520423,1.0179383342200923,0.3641348350377863,0.06085290204905115,321.1466207427087 degree,10.627789851643481 meter / second,320.8879674518522 degree,13.163125143705097 meter / second
394,35.89,126.42,2022-01-17 10:00:00,6.304758895444548,-10.968062040510508,5.0953698821352535,-8.975736890670053,320.35015695468667,4.527295137203726,306.4240526617844,289.5562922980507,5.303025705571733,4.68836345737803,13.0,329.2594228114281,6.1353541650370875,1.7020280589687447,1.3487593341560964,1.100827516870675,0.05419548956370268,0.011841810353717307,330.41717543805987 degree,10.32117468926412 meter / second,330.10846671140416 degree,12.651022474652976 meter / second
395,35.89,126.42,2022-01-17 11:00:00,6.3439559693349805,-11.518395446925897,5.172828148633508,-9.486520900775506,321.7777302913448,4.733012534256753,309.937182764902,287.2724829973692,5.332018694731298,4.687046616873413,13.0,330.1712909738884,6.170052138648665,1.7156709651381798,1.44447565930789,0.9903548433643403,0.015625957443435035,0.009887455020276041,331.39716451220215 degree,10.805194577431065 meter / second,331.1554628108655 degree,13.149874942851136 meter / second
396,35.89,126.42,2022-01-17 12:00:00,6.15654495979635,-10.782907496148722,5.0581077615091985,-8.924516209990953,323.7653516293074,4.6777147383142195,312.24643650869587,290.9703331033793,5.34170498883688,4.67409768524468,13.0,330.94033641210797,6.179559775485735,1.7023312346613988,1.4296216106847006,0.9809621891505282,0.03943273629793387,0.009887455020276041,330.4569322151782 degree,10.258237846210765 meter / second,330.2756175001908 degree,12.41668796066383 meter / second
397,35.89,126.42,2022-01-17 13:00:00,5.035345325388768,-10.745596756730729,4.142105079662405,-9.02695757134915,328.20181030630675,4.545227936538669,314.0413067171422,293.68102264717885,5.329844220544331,4.641121804274897,13.0,336.5653544745137,6.176815302996684,1.6401802176673046,1.3336709021226794,0.9787626435434962,0.03265462167557759,0.009337475481997141,335.35152745515285 degree,9.931918117156567 meter / second,334.89239229076765 degree,11.866867834613162 meter / second
398,35.89,126.42,2022-01-17 14:00:00,3.9121041767160585,-10.465766211095787,3.2170069195525577,-8.882899406939186,332.98418098411173,4.357203435150552,316.0386470405658,297.02136054957754,5.287606706791419,4.5868021334594475,13.0,341.07525665150104,6.163681041799082,1.5654777269973303,1.2323586730516962,0.966793944925052,0.0272203590116335,0.008422195881392772,340.0917756802599 degree,9.447488311411112 meter / second,339.5042531638401 degree,11.173039938834618 meter / second
399,35.89,126.42,2022-01-17 15:00:00,2.731292325766777,-10.058612767196944,2.2079956374029344,-8.602608459889675,340.0781223339671,4.108843160749215,317.5982141424171,300.633834606964,5.250706538770156,4.545925209461964,13.0,347.485799697231,6.145645936871031,1.4744643840625642,1.087011660784158,0.9586100500087981,0.0227670101859464,0.007385149593346574,345.60486633446925 degree,8.881447913992165 meter / second,344.8083406615713 degree,10.422842633812039 meter / second
400,35.89,126.42,2022-01-17 16:00:00,2.120062954787844,-9.126777050232583,1.6757634577520428,-7.842835029816381,344.11925301004567,3.766020816272508,318.28223480112376,304.97734108069005,5.226128391141707,4.522935368985526,13.0,349.3370019306595,6.127806865692197,1.3735068784087432,0.9261367475890253,0.933602603557678,0.01934362089042929,0.0062872199615794724,347.93908173960403 degree,8.019865614288808 meter / second,346.9226594854091 degree,9.369777278938702 meter / second
401,35.89,126.42,2022-01-17 17:00:00,1.4328892531461974,-8.86700102703481,1.0760486974397923,-7.651824574783911,349.5550130227058,3.5659411554652487,318.752841014314,306.11924573103084,5.1867901763047515,4.483155812075222,13.0,354.8906086309448,6.113398385124677,1.2835243328290011,0.8202540420185993,0.877900597239058,0.016724580942282907,0.005402382032835558,351.9951913529528 degree,7.727114605241004 meter / second,350.8204745267863 degree,8.982030885340922 meter / second
402,35.89,126.42,2022-01-17 18:00:00,0.806960979458352,-8.471507189204091,0.5452835304119734,-7.319957247883918,353.7938076992448,3.399088152957516,319.4696946646386,307.175774332748,5.125707219598123,4.4215935184843795,13.0,358.6534380965189,6.102126444544645,1.208185173204453,0.7472143118063492,0.8271128910154283,0.014527333944587106,0.004700194135254375,355.7397501522763 degree,7.3402389769943355 meter / second,354.5586574196945 degree,8.50985429247205 meter / second
403,35.89,126.42,2022-01-17 19:00:00,0.6848784264037755,-8.26210066422061,0.43291036348458006,-7.149221645620257,355.4245357030428,3.295089911998347,320.1810761496936,307.52795053332034,5.058957451373944,4.362500300839694,13.0,0.1519207070812172,6.091638638961484,1.1450943115631311,0.6999274587928828,0.7765629735060723,0.012634170236751008,0.004089331253254558,356.5347714654789 degree,7.162316770502235 meter / second,355.2613585687526 degree,8.290438217891015 meter / second
